Round,Date,Time,Team 1,FT,HT,Team 2,ET,P,Comments
1. Runde,Fri Aug 7 2015,19:00,TuS Erndtebrück,0-5,0-2,SV Darmstadt 98,,,
1. Runde,Fri Aug 7 2015,19:00,BFC Dynamo,0-2,0-2,FSV Frankfurt,,,
1. Runde,Fri Aug 7 2015,20:00,SV 07 Elversberg,1-1,0-0,FC Augsburg,1-3,,
1. Runde,Sat Aug 8 2015,15:30,Viktoria Köln,2-1,0-1,1. FC Union Berlin,,,
1. Runde,Sat Aug 8 2015,15:30,SV Meppen,0-4,0-2,1. FC Köln,,,
1. Runde,Sat Aug 8 2015,15:30,Hallescher FC,0-1,0-0,Eintracht Braunschweig,,,
1. Runde,Sat Aug 8 2015,15:30,Stuttgarter Kickers,1-4,0-2,VfL Wolfsburg,,,
1. Runde,Sat Aug 8 2015,15:30,Sportfreunde Lotte,0-3,0-1,Bayer Leverkusen,,,
1. Runde,Sat Aug 8 2015,15:30,MSV Duisburg,0-5,0-3,FC Schalke 04,,,
1. Runde,Sat Aug 8 2015,15:30,Würzburger Kickers,0-0,0-0,Werder Bremen,0-2,,
1. Runde,Sat Aug 8 2015,15:30,Erzgebirge Aue,1-0,0-0,SpVgg Greuther Fürth,,,
1. Runde,Sat Aug 8 2015,15:30,Bremer SV,0-3,0-1,Eintracht Frankfurt,,,
1. Runde,Sat Aug 8 2015,18:00,TSV 1860 München,2-0,0-0,1899 Hoffenheim,,,
1. Runde,Sat Aug 8 2015,20:30,SSV Reutlingen,3-1,2-0,Karlsruher SC,,,
1. Runde,Sat Aug 8 2015,20:30,Holstein Kiel,1-2,1-1,VfB Stuttgart,,,
1. Runde,Sun Aug 9 2015,14:30,FC Carl Zeiss Jena,2-2,1-0,Hamburger SV,3-2,,
1. Runde,Sun Aug 9 2015,14:30,Bahlinger SC,0-0,0-0,SV Sandhausen,0-0,3-5,
1. Runde,Sun Aug 9 2015,14:30,HSV Barmbek-Uhlenhorst,0-5,0-2,SC Freiburg,,,
1. Runde,Sun Aug 9 2015,14:30,FSV Salmrohr,0-5,0-1,VfL Bochum,,,
1. Runde,Sun Aug 9 2015,14:30,Chemnitzer FC,0-2,0-1,Borussia Dortmund,,,
1. Runde,Sun Aug 9 2015,16:00,VfB Lübeck,1-2,1-0,SC Paderborn 07,,,
1. Runde,Sun Aug 9 2015,16:00,Rot-Weiss Essen,0-0,0-0,Fortuna Düsseldorf,0-0,1-3,
1. Runde,Sun Aug 9 2015,16:00,FK Pirmasens,1-4,0-2,1. FC Heidenheim 1846,,,
1. Runde,Sun Aug 9 2015,16:00,FC Nöttingen,1-3,1-3,Bayern München,,,
1. Runde,Sun Aug 9 2015,16:00,SpVgg Unterhaching,2-1,1-0,FC Ingolstadt 04,,,
1. Runde,Sun Aug 9 2015,18:30,Hansa Rostock,0-0,0-0,1. FC Kaiserslautern,0-0,4-5,
1. Runde,Sun Aug 9 2015,18:30,Hessen Kassel,0-2,0-1,Hannover 96,,,
1. Runde,Sun Aug 9 2015,20:30,Energie Cottbus,0-3,0-2,1. FSV Mainz 05,,,
1. Runde,Mon Aug 10 2015,,VfL Osnabrück,0-2 (*),,RB Leipzig,,,awd.
1. Runde,Mon Aug 10 2015,18:30,Arminia Bielefeld,0-2,0-0,Hertha BSC,,,
1. Runde,Mon Aug 10 2015,18:30,VfR Aalen,0-0,0-0,1. FC Nürnberg,0-0,1-2,
1. Runde,Mon Aug 10 2015,20:30,FC St. Pauli,1-4,1-0,Bor. Mönchengladbach,,,
2. Runde,Tue Oct 27 2015,19:00,Erzgebirge Aue,1-0,0-0,Eintracht Frankfurt,,,
2. Runde,Tue Oct 27 2015,19:00,FSV Frankfurt,1-1,0-0,Hertha BSC,1-2,,
2. Runde,Tue Oct 27 2015,19:00,1. FSV Mainz 05,1-2,1-0,TSV 1860 München,,,
2. Runde,Tue Oct 27 2015,19:00,1. FC Nürnberg,5-1,4-0,Fortuna Düsseldorf,,,
2. Runde,Tue Oct 27 2015,20:30,SpVgg Unterhaching,3-0,2-0,RB Leipzig,,,
2. Runde,Tue Oct 27 2015,20:30,SV Darmstadt 98,2-1,0-0,Hannover 96,,,
2. Runde,Tue Oct 27 2015,20:30,VfL Bochum,1-0,0-0,1. FC Kaiserslautern,,,
2. Runde,Tue Oct 27 2015,20:30,VfL Wolfsburg,1-3,0-3,Bayern München,,,
2. Runde,Wed Oct 28 2015,19:00,Viktoria Köln,0-6,0-3,Bayer Leverkusen,,,
2. Runde,Wed Oct 28 2015,19:00,SV Sandhausen,0-0,0-0,1. FC Heidenheim 1846,0-0,3-4,
2. Runde,Wed Oct 28 2015,19:00,Borussia Dortmund,7-1,3-1,SC Paderborn 07,,,
2. Runde,Wed Oct 28 2015,19:00,SC Freiburg,0-3,0-2,FC Augsburg,,,
2. Runde,Wed Oct 28 2015,20:30,FC Carl Zeiss Jena,0-2,0-1,VfB Stuttgart,,,
2. Runde,Wed Oct 28 2015,20:30,SSV Reutlingen,0-4,0-2,Eintracht Braunschweig,,,
2. Runde,Wed Oct 28 2015,20:30,FC Schalke 04,0-2,0-1,Bor. Mönchengladbach,,,
2. Runde,Wed Oct 28 2015,20:30,Werder Bremen,1-0,1-0,1. FC Köln,,,
Achtelfinale,Tue Dec 15 2015,19:15,SpVgg Unterhaching,1-3,1-1,Bayer Leverkusen,,,
Achtelfinale,Tue Dec 15 2015,19:15,Bor. Mönchengladbach,3-4,1-0,Werder Bremen,,,
Achtelfinale,Tue Dec 15 2015,20:30,Erzgebirge Aue,0-2,0-0,1. FC Heidenheim 1846,,,
Achtelfinale,Tue Dec 15 2015,20:30,Bayern München,1-0,1-0,SV Darmstadt 98,,,
Achtelfinale,Wed Dec 16 2015,19:00,1. FC Nürnberg,0-2,0-1,Hertha BSC,,,
Achtelfinale,Wed Dec 16 2015,19:00,VfB Stuttgart,1-1,1-1,Eintracht Braunschweig,3-2,,
Achtelfinale,Wed Dec 16 2015,20:30,FC Augsburg,0-2,0-0,Borussia Dortmund,,,
Achtelfinale,Wed Dec 16 2015,20:30,TSV 1860 München,0-2,0-2,VfL Bochum,,,
Viertelfinale,Tue Feb 9 2016,19:00,Bayer Leverkusen,1-3,1-2,Werder Bremen,,,
Viertelfinale,Tue Feb 9 2016,20:30,VfB Stuttgart,1-3,1-2,Borussia Dortmund,,,
Viertelfinale,Wed Feb 10 2016,19:00,1. FC Heidenheim 1846,2-3,1-2,Hertha BSC,,,
Viertelfinale,Wed Feb 10 2016,20:30,VfL Bochum,0-3,0-1,Bayern München,,,
Halbfinale,Tue Apr 19 2016,20:30,Bayern München,2-0,1-0,Werder Bremen,,,
Halbfinale,Wed Apr 20 2016,20:30,Hertha BSC,0-3,0-1,Borussia Dortmund,,,
Finale,Sat May 21 2016,20:00,Bayern München,0-0,0-0,Borussia Dortmund,0-0,4-3,
