Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
Phase I,1,Sat Aug 3 2024,18:00,EEST/+0300,FC Floreşti,0-0,0-0,Sparta Selemet,,2024-08-03T15:00Z
Phase I,1,Sun Aug 4 2024,20:00,EEST/+0300,FC Zimbru,4-0,2-0,FC Bălţi,,2024-08-04T17:00Z
Phase I,1,Sun Aug 4 2024,18:00,EEST/+0300,FC Sheriff,2-0,1-0,Dacia Buiucani,,2024-08-04T15:00Z
Phase I,2,Fri Aug 9 2024,,,CS Petrocub,3-0 (*),,FC Floreşti,awd.,
Phase I,2,Sat Aug 10 2024,20:00,EEST/+0300,FC Bălţi,0-0,0-0,Dacia Buiucani,,2024-08-10T17:00Z
Phase I,2,Sun Aug 11 2024,20:00,EEST/+0300,FC Zimbru,4-1,2-0,FC Milsami,,2024-08-11T17:00Z
Phase I,2,Sun Aug 11 2024,18:00,EEST/+0300,FC Sheriff,1-0,1-0,Sparta Selemet,,2024-08-11T15:00Z
Phase I,3,Sat Aug 17 2024,18:00,EEST/+0300,Dacia Buiucani,0-1,0-0,Sparta Selemet,,2024-08-17T15:00Z
Phase I,3,Sun Aug 18 2024,18:00,EEST/+0300,FC Floreşti,0-8,0-6,FC Zimbru,,2024-08-18T15:00Z
Phase I,3,Sun Aug 18 2024,19:00,EEST/+0300,FC Milsami,0-2,0-0,FC Bălţi,,2024-08-18T16:00Z
Phase I,3,Sun Aug 18 2024,20:00,EEST/+0300,FC Sheriff,1-0,0-0,CS Petrocub,,2024-08-18T17:00Z
Phase I,4,Sat Aug 24 2024,20:00,EEST/+0300,FC Bălţi,1-0,1-0,Sparta Selemet,,2024-08-24T17:00Z
Phase I,4,Sun Aug 25 2024,20:00,EEST/+0300,FC Zimbru,1-2,1-2,FC Sheriff,,2024-08-25T17:00Z
Phase I,4,Sun Aug 25 2024,18:00,EEST/+0300,FC Milsami,6-0,2-0,FC Floreşti,,2024-08-25T15:00Z
Phase I,4,Sun Aug 25 2024,20:00,EEST/+0300,CS Petrocub,2-0,0-0,Dacia Buiucani,,2024-08-25T17:00Z
Phase I,5,Sat Aug 31 2024,17:00,EEST/+0300,Dacia Buiucani,0-1,0-0,FC Zimbru,,2024-08-31T14:00Z
Phase I,5,Sat Aug 31 2024,19:00,EEST/+0300,FC Sheriff,1-1,0-1,FC Milsami,,2024-08-31T16:00Z
Phase I,5,Sun Sep 1 2024,17:00,EEST/+0300,FC Floreşti,0-4,0-1,FC Bălţi,,2024-09-01T14:00Z
Phase I,5,Sun Sep 1 2024,19:00,EEST/+0300,CS Petrocub,2-2,1-0,Sparta Selemet,,2024-09-01T16:00Z
Phase I,6,Sat Sep 14 2024,20:00,EEST/+0300,FC Zimbru,2-3,0-1,Sparta Selemet,,2024-09-14T17:00Z
Phase I,6,Sat Sep 14 2024,17:00,EEST/+0300,FC Milsami,7-0,4-0,Dacia Buiucani,,2024-09-14T14:00Z
Phase I,6,Sun Sep 15 2024,16:00,EEST/+0300,FC Floreşti,0-4,0-3,FC Sheriff,,2024-09-15T13:00Z
Phase I,6,Sun Sep 15 2024,19:00,EEST/+0300,FC Bălţi,2-1,0-0,CS Petrocub,,2024-09-15T16:00Z
Phase I,7,Sat Sep 21 2024,16:00,EEST/+0300,Dacia Buiucani,2-0,1-0,FC Floreşti,,2024-09-21T13:00Z
Phase I,7,Sat Sep 21 2024,19:00,EEST/+0300,FC Sheriff,1-0,0-0,FC Bălţi,,2024-09-21T16:00Z
Phase I,7,Sun Sep 22 2024,19:00,EEST/+0300,CS Petrocub,0-0,0-0,FC Zimbru,,2024-09-22T16:00Z
Phase I,7,Sun Sep 22 2024,16:00,EEST/+0300,Sparta Selemet,1-2,1-1,FC Milsami,,2024-09-22T13:00Z
Phase I,8,Sat Sep 28 2024,18:00,EEST/+0300,Sparta Selemet,,,FC Floreşti,,2024-09-28T15:00Z
Phase I,8,Sat Sep 28 2024,,,Dacia Buiucani,,,FC Sheriff,,
Phase I,8,Sat Sep 28 2024,18:00,EEST/+0300,FC Bălţi,,,FC Zimbru,,2024-09-28T15:00Z
Phase I,8,Sat Sep 28 2024,18:00,EEST/+0300,CS Petrocub,,,FC Milsami,,2024-09-28T15:00Z
Phase I,9,Sat Oct 5 2024,,,FC Milsami,,,FC Zimbru,,
Phase I,9,Sat Oct 5 2024,,,FC Floreşti,,,CS Petrocub,,
Phase I,9,Sat Oct 5 2024,15:00,EEST/+0300,Dacia Buiucani,,,FC Bălţi,,2024-10-05T12:00Z
Phase I,9,Sat Oct 5 2024,18:00,EEST/+0300,Sparta Selemet,,,FC Sheriff,,2024-10-05T15:00Z
Phase I,10,Sat Oct 19 2024,,,FC Bălţi,,,FC Milsami,,
Phase I,10,Sat Oct 19 2024,,,Sparta Selemet,,,Dacia Buiucani,,
Phase I,10,Sat Oct 19 2024,,,CS Petrocub,,,FC Sheriff,,
Phase I,10,Sat Oct 19 2024,,,FC Zimbru,,,FC Floreşti,,
Phase I,11,Sat Oct 26 2024,,,FC Sheriff,,,FC Zimbru,,
Phase I,11,Sat Oct 26 2024,,,Dacia Buiucani,,,CS Petrocub,,
Phase I,11,Sat Oct 26 2024,,,FC Floreşti,,,FC Milsami,,
Phase I,11,Sat Oct 26 2024,,,Sparta Selemet,,,FC Bălţi,,
Phase I,1,Wed Oct 30 2024,17:00,EET/+0200,FC Milsami,,,CS Petrocub,,2024-10-30T15:00Z
Phase I,12,Sat Nov 2 2024,,,FC Milsami,,,FC Sheriff,,
Phase I,12,Sat Nov 2 2024,,,Sparta Selemet,,,CS Petrocub,,
Phase I,12,Sat Nov 2 2024,,,FC Bălţi,,,FC Floreşti,,
Phase I,12,Sat Nov 2 2024,,,FC Zimbru,,,Dacia Buiucani,,
Phase I,13,Sat Nov 9 2024,,,CS Petrocub,,,FC Bălţi,,
Phase I,13,Sat Nov 9 2024,,,Sparta Selemet,,,FC Zimbru,,
Phase I,13,Sat Nov 9 2024,,,Dacia Buiucani,,,FC Milsami,,
Phase I,13,Sat Nov 9 2024,,,FC Sheriff,,,FC Floreşti,,
Phase I,14,Sat Nov 23 2024,,,FC Zimbru,,,CS Petrocub,,
Phase I,14,Sat Nov 23 2024,,,FC Floreşti,,,Dacia Buiucani,,
Phase I,14,Sat Nov 23 2024,,,FC Bălţi,,,FC Sheriff,,
Phase I,14,Sat Nov 23 2024,,,FC Milsami,,,Sparta Selemet,,
